# BEGIN PLOT
LegendOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/4mu_m //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/4mu_m //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/4mu_m //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/4mu_m //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/4mu_m //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/4mu_m
DrawOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/4mu_m //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/4mu_m //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/4mu_m //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/4mu_m //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/4mu_m //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/4mu_m
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/4mu_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/4mu_m
Scale=1385.16766924
ScaledBy=3.34351358995145715e-04
Title=Zp005
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+00	9.875000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.875000e+00	1.475000e+01	2.737122e-06	1.368561e-06	1.368561e-06
1.475000e+01	1.962500e+01	1.093449e-05	2.733624e-06	2.733624e-06
1.962500e+01	2.450000e+01	1.094326e-05	2.735816e-06	2.735816e-06
2.450000e+01	2.937500e+01	1.846457e-05	3.553509e-06	3.553509e-06
2.937500e+01	3.425000e+01	2.940509e-05	4.484236e-06	4.484236e-06
3.425000e+01	3.912500e+01	2.940258e-05	4.483853e-06	4.483853e-06
3.912500e+01	4.400000e+01	2.734890e-05	4.324243e-06	4.324243e-06
4.400000e+01	4.887500e+01	4.376228e-05	5.470288e-06	5.470288e-06
4.887500e+01	5.375000e+01	7.316185e-05	7.072825e-06	7.072825e-06
5.375000e+01	5.862500e+01	1.258049e-04	9.274465e-06	9.274465e-06
5.862500e+01	6.350000e+01	2.317941e-04	1.258933e-05	1.258933e-05
6.350000e+01	6.837500e+01	3.610164e-04	1.571123e-05	1.571123e-05
6.837500e+01	7.325000e+01	5.852888e-04	2.000477e-05	2.000477e-05
7.325000e+01	7.812500e+01	1.012651e-03	2.631374e-05	2.631374e-05
7.812500e+01	8.300000e+01	2.219530e-03	3.895712e-05	3.895712e-05
8.300000e+01	8.787500e+01	6.862874e-03	6.850216e-05	6.850216e-05
8.787500e+01	9.275000e+01	4.484738e-02	1.751144e-04	1.751144e-04
9.275000e+01	9.762500e+01	1.002471e-02	8.279237e-05	8.279237e-05
9.762500e+01	1.025000e+02	2.028037e-03	3.723836e-05	3.723836e-05
1.025000e+02	1.073750e+02	9.504137e-04	2.549210e-05	2.549210e-05
1.073750e+02	1.122500e+02	5.716105e-04	1.976957e-05	1.976957e-05
1.122500e+02	1.171250e+02	3.473487e-04	1.541111e-05	1.541111e-05
1.171250e+02	1.220000e+02	2.762263e-04	1.374278e-05	1.374278e-05
1.220000e+02	1.268750e+02	2.099237e-04	1.198098e-05	1.198098e-05
1.268750e+02	1.317500e+02	1.805036e-04	1.110923e-05	1.110923e-05
