# BEGIN PLOT
LegendOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/4mu_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/4mu_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/4mu_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/4mu_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/4mu_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/4mu_pt
DrawOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/4mu_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/4mu_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/4mu_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/4mu_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/4mu_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/4mu_pt
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/4mu_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/4mu_pt
Scale=1385.16766924
ScaledBy=3.34351358995145715e-04
Title=Zp005
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+00	9.875000e+00	1.376128e-02	9.700194e-05	9.700194e-05
9.875000e+00	1.475000e+01	9.751147e-03	8.165463e-05	8.165463e-05
1.475000e+01	1.962500e+01	7.127465e-03	6.981007e-05	6.981007e-05
1.962500e+01	2.450000e+01	5.429793e-03	6.093206e-05	6.093206e-05
2.450000e+01	2.937500e+01	4.071089e-03	5.276019e-05	5.276019e-05
2.937500e+01	3.425000e+01	3.115186e-03	4.615217e-05	4.615217e-05
3.425000e+01	3.912500e+01	2.536712e-03	4.164706e-05	4.164706e-05
3.912500e+01	4.400000e+01	2.075270e-03	3.767000e-05	3.767000e-05
4.400000e+01	4.887500e+01	1.684158e-03	3.393523e-05	3.393523e-05
4.887500e+01	5.375000e+01	1.422274e-03	3.118544e-05	3.118544e-05
5.375000e+01	5.862500e+01	1.224585e-03	2.893618e-05	2.893618e-05
5.862500e+01	6.350000e+01	1.044093e-03	2.671899e-05	2.671899e-05
6.350000e+01	6.837500e+01	8.704611e-04	2.439695e-05	2.439695e-05
6.837500e+01	7.325000e+01	7.377664e-04	2.245993e-05	2.245993e-05
7.325000e+01	7.812500e+01	6.276790e-04	2.071650e-05	2.071650e-05
7.812500e+01	8.300000e+01	5.668568e-04	1.968776e-05	1.968776e-05
8.300000e+01	8.787500e+01	4.628995e-04	1.779068e-05	1.779068e-05
8.787500e+01	9.275000e+01	4.088808e-04	1.672039e-05	1.672039e-05
9.275000e+01	9.762500e+01	3.398123e-04	1.524267e-05	1.524267e-05
9.762500e+01	1.025000e+02	2.953877e-04	1.421185e-05	1.421185e-05
1.025000e+02	1.073750e+02	2.837475e-04	1.392862e-05	1.392862e-05
1.073750e+02	1.122500e+02	2.625438e-04	1.339789e-05	1.339789e-05
1.122500e+02	1.171250e+02	2.024078e-04	1.176472e-05	1.176472e-05
1.171250e+02	1.220000e+02	1.866477e-04	1.129644e-05	1.129644e-05
1.220000e+02	1.268750e+02	1.517877e-04	1.018732e-05	1.018732e-05
1.268750e+02	1.317500e+02	1.675287e-04	1.070302e-05	1.070302e-05
