# BEGIN PLOT
LegendOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/4mu_y //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/4mu_y //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/4mu_y //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/4mu_y //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/4mu_y //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/4mu_y
DrawOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/4mu_y //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/4mu_y //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/4mu_y //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/4mu_y //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/4mu_y //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/4mu_y
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/4mu_y
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/4mu_y
Scale=1385.16766924
ScaledBy=3.34351358995145715e-04
Title=Zp005
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.250000e-01	1.788542e-01	2.183912e-03	2.183912e-03
1.250000e-01	2.500000e-01	1.807958e-01	2.195703e-03	2.195703e-03
2.500000e-01	3.750000e-01	1.804805e-01	2.193817e-03	2.193817e-03
3.750000e-01	5.000000e-01	1.790933e-01	2.185366e-03	2.185366e-03
5.000000e-01	6.250000e-01	1.798697e-01	2.190116e-03	2.190116e-03
6.250000e-01	7.500000e-01	1.785314e-01	2.181924e-03	2.181924e-03
7.500000e-01	8.750000e-01	1.738957e-01	2.153436e-03	2.153436e-03
8.750000e-01	1.000000e+00	1.801889e-01	2.192054e-03	2.192054e-03
1.000000e+00	1.125000e+00	1.669070e-01	2.109708e-03	2.109708e-03
1.125000e+00	1.250000e+00	1.662709e-01	2.105708e-03	2.105708e-03
1.250000e+00	1.375000e+00	1.634138e-01	2.087516e-03	2.087516e-03
1.375000e+00	1.500000e+00	1.599722e-01	2.065406e-03	2.065406e-03
1.500000e+00	1.625000e+00	1.476811e-01	1.984489e-03	1.984489e-03
1.625000e+00	1.750000e+00	1.389333e-01	1.924808e-03	1.924808e-03
1.750000e+00	1.875000e+00	1.255737e-01	1.829930e-03	1.829930e-03
1.875000e+00	2.000000e+00	1.059461e-01	1.680838e-03	1.680838e-03
2.000000e+00	2.125000e+00	8.738656e-02	1.526535e-03	1.526535e-03
2.125000e+00	2.250000e+00	6.165441e-02	1.282243e-03	1.282243e-03
2.250000e+00	2.375000e+00	4.130662e-02	1.049528e-03	1.049528e-03
2.375000e+00	2.500000e+00	2.064152e-02	7.419445e-04	7.419445e-04
2.500000e+00	2.625000e+00	5.466930e-03	3.818272e-04	3.818272e-04
2.625000e+00	2.750000e+00	8.005344e-05	4.621891e-05	4.621891e-05
2.750000e+00	2.875000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.875000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.125000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.125000e+00	3.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.250000e+00	3.375000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.375000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	3.625000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.625000e+00	3.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.750000e+00	3.875000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.875000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.125000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.125000e+00	4.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.250000e+00	4.375000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.375000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+00	4.625000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.625000e+00	4.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.750000e+00	4.875000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.875000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/4mu_y
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/4mu_y
Scale=275.10278295
ScaledBy=7.48126343000406289e-04
Title=Zp015
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.250000e-01	3.009706e-01	2.833052e-03	2.833052e-03
1.250000e-01	2.500000e-01	2.986978e-01	2.822305e-03	2.822305e-03
2.500000e-01	3.750000e-01	2.964606e-01	2.811730e-03	2.811730e-03
3.750000e-01	5.000000e-01	2.992793e-01	2.825026e-03	2.825026e-03
5.000000e-01	6.250000e-01	2.989915e-01	2.823694e-03	2.823694e-03
6.250000e-01	7.500000e-01	2.879866e-01	2.771282e-03	2.771282e-03
7.500000e-01	8.750000e-01	2.864809e-01	2.763969e-03	2.763969e-03
8.750000e-01	1.000000e+00	2.850476e-01	2.757079e-03	2.757079e-03
1.000000e+00	1.125000e+00	2.819459e-01	2.741997e-03	2.741997e-03
1.125000e+00	1.250000e+00	2.754716e-01	2.710361e-03	2.710361e-03
1.250000e+00	1.375000e+00	2.670223e-01	2.668491e-03	2.668491e-03
1.375000e+00	1.500000e+00	2.445645e-01	2.554069e-03	2.554069e-03
1.500000e+00	1.625000e+00	2.271504e-01	2.461479e-03	2.461479e-03
1.625000e+00	1.750000e+00	2.057906e-01	2.342618e-03	2.342618e-03
1.750000e+00	1.875000e+00	1.744254e-01	2.156691e-03	2.156691e-03
1.875000e+00	2.000000e+00	1.389634e-01	1.925043e-03	1.925043e-03
2.000000e+00	2.125000e+00	1.029634e-01	1.657040e-03	1.657040e-03
2.125000e+00	2.250000e+00	7.008030e-02	1.367048e-03	1.367048e-03
2.250000e+00	2.375000e+00	4.008065e-02	1.033845e-03	1.033845e-03
2.375000e+00	2.500000e+00	1.688067e-02	6.709471e-04	6.709471e-04
2.500000e+00	2.625000e+00	3.680050e-03	3.132670e-04	3.132670e-04
2.625000e+00	2.750000e+00	1.066222e-04	5.331113e-05	5.331113e-05
2.750000e+00	2.875000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.875000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.125000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.125000e+00	3.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.250000e+00	3.375000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.375000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	3.625000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.625000e+00	3.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.750000e+00	3.875000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.875000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.125000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.125000e+00	4.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.250000e+00	4.375000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.375000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+00	4.625000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.625000e+00	4.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.750000e+00	4.875000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.875000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/4mu_y
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/4mu_y
Scale=31.6846662254
ScaledBy=7.79859990955757382e-04
Title=Zp035
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.250000e-01	4.030355e-01	5.678252e-03	5.678252e-03
1.250000e-01	2.500000e-01	4.144102e-01	5.757925e-03	5.757925e-03
2.500000e-01	3.750000e-01	4.014360e-01	5.666977e-03	5.666977e-03
3.750000e-01	5.000000e-01	3.999282e-01	5.656409e-03	5.656409e-03
5.000000e-01	6.250000e-01	4.043142e-01	5.687243e-03	5.687243e-03
6.250000e-01	7.500000e-01	3.929561e-01	5.606803e-03	5.606803e-03
7.500000e-01	8.750000e-01	3.816834e-01	5.525849e-03	5.525849e-03
8.750000e-01	1.000000e+00	3.673662e-01	5.421241e-03	5.421241e-03
1.000000e+00	1.125000e+00	3.571172e-01	5.345017e-03	5.345017e-03
1.125000e+00	1.250000e+00	3.326399e-01	5.158608e-03	5.158608e-03
1.250000e+00	1.375000e+00	3.325634e-01	5.158041e-03	5.158041e-03
1.375000e+00	1.500000e+00	3.133687e-01	5.007020e-03	5.007020e-03
1.500000e+00	1.625000e+00	2.908765e-01	4.823886e-03	4.823886e-03
1.625000e+00	1.750000e+00	2.424006e-01	4.403651e-03	4.403651e-03
1.750000e+00	1.875000e+00	2.132806e-01	4.130682e-03	4.130682e-03
1.875000e+00	2.000000e+00	1.706461e-01	3.694889e-03	3.694889e-03
2.000000e+00	2.125000e+00	1.192042e-01	3.088153e-03	3.088153e-03
2.125000e+00	2.250000e+00	8.015952e-02	2.532338e-03	2.532338e-03
2.250000e+00	2.375000e+00	3.552146e-02	1.685776e-03	1.685776e-03
2.375000e+00	2.500000e+00	1.495846e-02	1.093872e-03	1.093872e-03
2.500000e+00	2.625000e+00	2.959946e-03	4.866124e-04	4.866124e-04
2.625000e+00	2.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.750000e+00	2.875000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.875000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.125000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.125000e+00	3.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.250000e+00	3.375000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.375000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	3.625000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.625000e+00	3.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.750000e+00	3.875000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.875000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.125000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.125000e+00	4.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.250000e+00	4.375000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.375000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+00	4.625000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.625000e+00	4.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.750000e+00	4.875000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.875000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/4mu_y
ErrorBars=1
LineColor=orange
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/4mu_y
Scale=10.4345482352
ScaledBy=2.84307238471105629e-04
Title=Zp045
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.250000e-01	4.261068e-01	3.370885e-03	3.370885e-03
1.250000e-01	2.500000e-01	4.245294e-01	3.364624e-03	3.364624e-03
2.500000e-01	3.750000e-01	4.243472e-01	3.363920e-03	3.363920e-03
3.750000e-01	5.000000e-01	4.160614e-01	3.330946e-03	3.330946e-03
5.000000e-01	6.250000e-01	4.130964e-01	3.319036e-03	3.319036e-03
6.250000e-01	7.500000e-01	4.069078e-01	3.294074e-03	3.294074e-03
7.500000e-01	8.750000e-01	4.016031e-01	3.272540e-03	3.272540e-03
8.750000e-01	1.000000e+00	3.872264e-01	3.213416e-03	3.213416e-03
1.000000e+00	1.125000e+00	3.807266e-01	3.186362e-03	3.186362e-03
1.125000e+00	1.250000e+00	3.632870e-01	3.112532e-03	3.112532e-03
1.250000e+00	1.375000e+00	3.517938e-01	3.062902e-03	3.062902e-03
1.375000e+00	1.500000e+00	3.195436e-01	2.919091e-03	2.919091e-03
1.500000e+00	1.625000e+00	2.904278e-01	2.782945e-03	2.782945e-03
1.625000e+00	1.750000e+00	2.601309e-01	2.633774e-03	2.633774e-03
1.750000e+00	1.875000e+00	2.185874e-01	2.414337e-03	2.414337e-03
1.875000e+00	2.000000e+00	1.759760e-01	2.166281e-03	2.166281e-03
2.000000e+00	2.125000e+00	1.292538e-01	1.856552e-03	1.856552e-03
2.125000e+00	2.250000e+00	8.125104e-02	1.471950e-03	1.471950e-03
2.250000e+00	2.375000e+00	4.258454e-02	1.065614e-03	1.065614e-03
2.375000e+00	2.500000e+00	1.586748e-02	6.505037e-04	6.505037e-04
