# BEGIN PLOT
LegendOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/mu1_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/mu1_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/mu1_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/mu1_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/mu1_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/mu1_pt
DrawOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/mu1_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/mu1_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/mu1_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/mu1_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/mu1_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/mu1_pt
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/mu1_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/mu1_pt
Scale=1385.16766924
ScaledBy=3.34351358995145715e-04
Title=Zp005
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+00	9.875000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.875000e+00	1.475000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.475000e+01	1.962500e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.962500e+01	2.450000e+01	3.342254e-03	4.780509e-05	4.780509e-05
2.450000e+01	2.937500e+01	7.050816e-03	6.943337e-05	6.943337e-05
2.937500e+01	3.425000e+01	1.152549e-02	8.877327e-05	8.877327e-05
3.425000e+01	3.912500e+01	1.538875e-02	1.025781e-04	1.025781e-04
3.912500e+01	4.400000e+01	1.504910e-02	1.014403e-04	1.014403e-04
4.400000e+01	4.887500e+01	8.690644e-03	7.708668e-05	7.708668e-05
4.887500e+01	5.375000e+01	3.889893e-03	5.157271e-05	5.157271e-05
5.375000e+01	5.862500e+01	2.127910e-03	3.814466e-05	3.814466e-05
5.862500e+01	6.350000e+01	1.273190e-03	2.950554e-05	2.950554e-05
6.350000e+01	6.837500e+01	8.998302e-04	2.480463e-05	2.480463e-05
6.837500e+01	7.325000e+01	6.413510e-04	2.094087e-05	2.094087e-05
7.325000e+01	7.812500e+01	4.731783e-04	1.798754e-05	1.798754e-05
7.812500e+01	8.300000e+01	3.357212e-04	1.515089e-05	1.515089e-05
8.300000e+01	8.787500e+01	2.720999e-04	1.363914e-05	1.363914e-05
8.787500e+01	9.275000e+01	2.229048e-04	1.234557e-05	1.234557e-05
9.275000e+01	9.762500e+01	1.743417e-04	1.091771e-05	1.091771e-05
9.762500e+01	1.025000e+02	1.435896e-04	9.908629e-06	9.908629e-06
1.025000e+02	1.073750e+02	1.155576e-04	8.889048e-06	8.889048e-06
1.073750e+02	1.122500e+02	1.005133e-04	8.290200e-06	8.290200e-06
1.122500e+02	1.171250e+02	8.616901e-05	7.676549e-06	7.676549e-06
1.171250e+02	1.220000e+02	6.974310e-05	6.905598e-06	6.905598e-06
1.220000e+02	1.268750e+02	5.743701e-05	6.266894e-06	6.266894e-06
1.268750e+02	1.317500e+02	5.947776e-05	6.376689e-06	6.376689e-06
1.317500e+02	1.366250e+02	4.718158e-05	5.679997e-06	5.679997e-06
1.366250e+02	1.415000e+02	3.487565e-05	4.883572e-06	4.883572e-06
1.415000e+02	1.463750e+02	4.239789e-05	5.384540e-06	5.384540e-06
1.463750e+02	1.512500e+02	2.940371e-05	4.484026e-06	4.484026e-06
1.512500e+02	1.561250e+02	2.530544e-05	4.160190e-06	4.160190e-06
1.561250e+02	1.610000e+02	1.983198e-05	3.682707e-06	3.682707e-06
1.610000e+02	1.658750e+02	2.119278e-05	3.806336e-06	3.806336e-06
1.658750e+02	1.707500e+02	2.325397e-05	3.988025e-06	3.988025e-06
1.707500e+02	1.756250e+02	7.517635e-06	2.266654e-06	2.266654e-06
1.756250e+02	1.805000e+02	1.367844e-05	3.058593e-06	3.058593e-06
1.805000e+02	1.853750e+02	1.504729e-05	3.208095e-06	3.208095e-06
1.853750e+02	1.902500e+02	1.162230e-05	2.818822e-06	2.818822e-06
1.902500e+02	1.951250e+02	1.299165e-05	2.980489e-06	2.980489e-06
1.951250e+02	2.000000e+02	1.162661e-05	2.819868e-06	2.819868e-06
# END HISTO1D


# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/mu1_pt
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/mu1_pt
Scale=275.10278295
ScaledBy=7.48126343000406289e-04
Title=Zp015
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+00	9.875000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.875000e+00	1.475000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.475000e+01	1.962500e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.962500e+01	2.450000e+01	8.293497e-03	7.530530e-05	7.530530e-05
2.450000e+01	2.937500e+01	1.673066e-02	1.069582e-04	1.069582e-04
2.937500e+01	3.425000e+01	2.379602e-02	1.275584e-04	1.275584e-04
3.425000e+01	3.912500e+01	2.545598e-02	1.319318e-04	1.319318e-04
3.912500e+01	4.400000e+01	1.724355e-02	1.085855e-04	1.085855e-04
4.400000e+01	4.887500e+01	7.911272e-03	7.354955e-05	7.354955e-05
4.887500e+01	5.375000e+01	4.111417e-03	5.302082e-05	5.302082e-05
5.375000e+01	5.862500e+01	2.411614e-03	4.061893e-05	4.061893e-05
5.862500e+01	6.350000e+01	1.595934e-03	3.303428e-05	3.303428e-05
6.350000e+01	6.837500e+01	1.118667e-03	2.765728e-05	2.765728e-05
6.837500e+01	7.325000e+01	8.690732e-04	2.437721e-05	2.437721e-05
7.325000e+01	7.812500e+01	6.051616e-04	2.034230e-05	2.034230e-05
7.812500e+01	8.300000e+01	4.622273e-04	1.777798e-05	1.777798e-05
8.300000e+01	8.787500e+01	3.658215e-04	1.581586e-05	1.581586e-05
8.787500e+01	9.275000e+01	2.803118e-04	1.384363e-05	1.384363e-05
9.275000e+01	9.762500e+01	2.399990e-04	1.281021e-05	1.281021e-05
