# BEGIN PLOT
LegendOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/mu2_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/mu2_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/mu2_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/mu2_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/mu2_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/mu2_eta
DrawOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/mu2_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/mu2_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/mu2_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/mu2_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/mu2_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/mu2_eta
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/mu2_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/mu2_eta
Scale=1385.16766924
ScaledBy=3.34351358995145715e-04
Title=Zp005
# xlow	 xhigh	 val	 errminus	 errplus
-3.500000e+00	-3.325000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.325000e+00	-3.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.150000e+00	-2.975000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.975000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.625000e+00	8.400217e-03	4.000106e-04	4.000106e-04
-2.625000e+00	-2.450000e+00	2.541087e-02	6.957321e-04	6.957321e-04
-2.450000e+00	-2.275000e+00	3.426660e-02	8.078963e-04	8.078963e-04
-2.275000e+00	-2.100000e+00	4.230451e-02	8.976617e-04	8.976617e-04
-2.100000e+00	-1.925000e+00	4.940964e-02	9.701232e-04	9.701232e-04
-1.925000e+00	-1.750000e+00	5.700839e-02	1.042043e-03	1.042043e-03
-1.750000e+00	-1.575000e+00	6.101040e-02	1.078017e-03	1.078017e-03
-1.575000e+00	-1.400000e+00	6.843977e-02	1.141774e-03	1.141774e-03
-1.400000e+00	-1.225000e+00	7.468560e-02	1.192721e-03	1.192721e-03
-1.225000e+00	-1.050000e+00	7.567634e-02	1.200608e-03	1.200608e-03
-1.050000e+00	-8.750000e-01	8.007629e-02	1.235017e-03	1.235017e-03
-8.750000e-01	-7.000000e-01	8.352297e-02	1.261309e-03	1.261309e-03
-7.000000e-01	-5.250000e-01	8.502811e-02	1.272626e-03	1.272626e-03
-5.250000e-01	-3.500000e-01	8.504737e-02	1.272771e-03	1.272771e-03
-3.500000e-01	-1.750000e-01	8.657074e-02	1.284117e-03	1.284117e-03
-1.750000e-01	0.000000e+00	8.857229e-02	1.298888e-03	1.298888e-03
0.000000e+00	1.750000e-01	8.997960e-02	1.309149e-03	1.309149e-03
1.750000e-01	3.500000e-01	8.836326e-02	1.297357e-03	1.297357e-03
3.500000e-01	5.250000e-01	8.895240e-02	1.301665e-03	1.301665e-03
5.250000e-01	7.000000e-01	8.668703e-02	1.284993e-03	1.284993e-03
7.000000e-01	8.750000e-01	8.202017e-02	1.249925e-03	1.249925e-03
