# BEGIN PLOT
LegendOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/mu2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/mu2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/mu2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/mu2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/mu2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/mu2_phi
DrawOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/mu2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/mu2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/mu2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/mu2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/mu2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/mu2_phi
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/mu2_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/mu2_phi
Scale=1385.16766924
ScaledBy=3.34351358995145715e-04
Title=Zp005
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.570796e-01	5.676363e-02	1.097510e-03	1.097510e-03
1.570796e-01	3.141593e-01	5.666094e-02	1.096550e-03	1.096550e-03
3.141593e-01	4.712389e-01	5.513090e-02	1.081622e-03	1.081622e-03
4.712389e-01	6.283185e-01	5.474683e-02	1.077828e-03	1.077828e-03
6.283185e-01	7.853982e-01	5.563943e-02	1.086592e-03	1.086592e-03
7.853982e-01	9.424778e-01	5.776355e-02	1.107159e-03	1.107159e-03
9.424778e-01	1.099557e+00	5.581107e-02	1.088285e-03	1.088285e-03
1.099557e+00	1.256637e+00	5.555645e-02	1.085800e-03	1.085800e-03
1.256637e+00	1.413717e+00	5.483533e-02	1.078734e-03	1.078734e-03
1.413717e+00	1.570796e+00	5.723241e-02	1.102051e-03	1.102051e-03
1.570796e+00	1.727876e+00	5.636345e-02	1.093664e-03	1.093664e-03
1.727876e+00	1.884956e+00	5.564106e-02	1.086624e-03	1.086624e-03
1.884956e+00	2.042035e+00	5.621442e-02	1.092212e-03	1.092212e-03
2.042035e+00	2.199115e+00	5.591684e-02	1.089313e-03	1.089313e-03
2.199115e+00	2.356194e+00	5.479216e-02	1.078302e-03	1.078302e-03
2.356194e+00	2.513274e+00	5.602288e-02	1.090344e-03	1.090344e-03
2.513274e+00	2.670354e+00	5.757161e-02	1.105309e-03	1.105309e-03
2.670354e+00	2.827433e+00	5.627901e-02	1.092848e-03	1.092848e-03
2.827433e+00	2.984513e+00	5.721136e-02	1.101850e-03	1.101850e-03
2.984513e+00	3.141593e+00	5.700036e-02	1.099828e-03	1.099828e-03
3.141593e+00	3.298672e+00	5.771964e-02	1.106724e-03	1.106724e-03
3.298672e+00	3.455752e+00	5.532048e-02	1.083467e-03	1.083467e-03
3.455752e+00	3.612832e+00	5.733839e-02	1.103070e-03	1.103070e-03
3.612832e+00	3.769911e+00	5.706332e-02	1.100429e-03	1.100429e-03
3.769911e+00	3.926991e+00	5.854968e-02	1.114677e-03	1.114677e-03
3.926991e+00	4.084070e+00	5.616961e-02	1.091754e-03	1.091754e-03
4.084070e+00	4.241150e+00	5.341119e-02	1.064611e-03	1.064611e-03
