# BEGIN PLOT
LegendOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z1_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/z1_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/z1_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/z1_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/z1_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/z1_eta
DrawOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z1_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/z1_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/z1_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/z1_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/z1_eta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/z1_eta
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z1_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z1_eta
Scale=1385.16766924
ScaledBy=3.34351358995145715e-04
Title=Zp005
# xlow	 xhigh	 val	 errminus	 errplus
-3.500000e+00	-3.325000e+00	2.695259e-02	7.165104e-04	7.165104e-04
-3.325000e+00	-3.150000e+00	3.451370e-02	8.107979e-04	8.107979e-04
-3.150000e+00	-2.975000e+00	4.358175e-02	9.111227e-04	9.111227e-04
-2.975000e+00	-2.800000e+00	4.845702e-02	9.607234e-04	9.607234e-04
-2.800000e+00	-2.625000e+00	5.489445e-02	1.022543e-03	1.022543e-03
-2.625000e+00	-2.450000e+00	6.013394e-02	1.070244e-03	1.070244e-03
-2.450000e+00	-2.275000e+00	6.158194e-02	1.083056e-03	1.083056e-03
-2.275000e+00	-2.100000e+00	6.137143e-02	1.081194e-03	1.081194e-03
-2.100000e+00	-1.925000e+00	6.188714e-02	1.085740e-03	1.085740e-03
-1.925000e+00	-1.750000e+00	5.784543e-02	1.049656e-03	1.049656e-03
-1.750000e+00	-1.575000e+00	5.674367e-02	1.039639e-03	1.039639e-03
-1.575000e+00	-1.400000e+00	5.489609e-02	1.022574e-03	1.022574e-03
-1.400000e+00	-1.225000e+00	4.935394e-02	9.695905e-04	9.695905e-04
-1.225000e+00	-1.050000e+00	4.798135e-02	9.560015e-04	9.560015e-04
-1.050000e+00	-8.750000e-01	4.304875e-02	9.055378e-04	9.055378e-04
-8.750000e-01	-7.000000e-01	4.017085e-02	8.747278e-04	8.747278e-04
-7.000000e-01	-5.250000e-01	3.742715e-02	8.443174e-04	8.443174e-04
-5.250000e-01	-3.500000e-01	3.619180e-02	8.302973e-04	8.302973e-04
-3.500000e-01	-1.750000e-01	3.516270e-02	8.184018e-04	8.184018e-04
-1.750000e-01	0.000000e+00	3.308509e-02	7.938393e-04	7.938393e-04
0.000000e+00	1.750000e-01	3.285710e-02	7.911063e-04	7.911063e-04
1.750000e-01	3.500000e-01	3.476337e-02	8.137492e-04	8.137492e-04
3.500000e-01	5.250000e-01	3.479884e-02	8.141337e-04	8.141337e-04
5.250000e-01	7.000000e-01	3.822922e-02	8.533398e-04	8.533398e-04
7.000000e-01	8.750000e-01	3.937095e-02	8.659760e-04	8.659760e-04
8.750000e-01	1.050000e+00	4.359987e-02	9.113025e-04	9.113025e-04
1.050000e+00	1.225000e+00	4.668671e-02	9.430220e-04	9.430220e-04
1.225000e+00	1.400000e+00	5.125671e-02	9.880844e-04	9.880844e-04
1.400000e+00	1.575000e+00	5.359942e-02	1.010411e-03	1.010411e-03
1.575000e+00	1.750000e+00	5.849429e-02	1.055537e-03	1.055537e-03
1.750000e+00	1.925000e+00	5.986651e-02	1.067854e-03	1.067854e-03
1.925000e+00	2.100000e+00	6.087543e-02	1.076809e-03	1.076809e-03
2.100000e+00	2.275000e+00	6.300960e-02	1.095530e-03	1.095530e-03
2.275000e+00	2.450000e+00	6.051354e-02	1.073604e-03	1.073604e-03
2.450000e+00	2.625000e+00	5.943097e-02	1.063986e-03	1.063986e-03
2.625000e+00	2.800000e+00	5.363834e-02	1.010786e-03	1.010786e-03
2.800000e+00	2.975000e+00	4.864757e-02	9.626112e-04	9.626112e-04
2.975000e+00	3.150000e+00	4.279978e-02	9.029013e-04	9.029013e-04
3.150000e+00	3.325000e+00	3.472274e-02	8.132440e-04	8.132440e-04
3.325000e+00	3.500000e+00	2.668655e-02	7.129739e-04	7.129739e-04
# END HISTO1D


