# BEGIN PLOT
LegendOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z2_dR //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/z2_dR //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/z2_dR //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/z2_dR //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/z2_dR //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/z2_dR
DrawOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z2_dR //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/z2_dR //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/z2_dR //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/z2_dR //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/z2_dR //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/z2_dR
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z2_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z2_dR
Scale=1385.16766924
ScaledBy=3.34351358995145715e-04
Title=Zp005
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	7.600000e-01	5.088108e-01	2.554067e-03	2.554067e-03
7.600000e-01	1.020000e+00	1.605774e-01	1.434814e-03	1.434814e-03
1.020000e+00	1.280000e+00	3.403853e-02	6.606003e-04	6.606003e-04
1.280000e+00	1.540000e+00	2.930745e-02	6.129713e-04	6.129713e-04
1.540000e+00	1.800000e+00	2.459039e-02	5.614891e-04	5.614891e-04
1.800000e+00	2.060000e+00	2.408897e-02	5.557187e-04	5.557187e-04
2.060000e+00	2.320000e+00	2.199910e-02	5.310636e-04	5.310636e-04
2.320000e+00	2.580000e+00	2.249912e-02	5.370654e-04	5.370654e-04
2.580000e+00	2.840000e+00	2.098753e-02	5.187253e-04	5.187253e-04
2.840000e+00	3.100000e+00	2.033307e-02	5.105657e-04	5.105657e-04
3.100000e+00	3.360000e+00	1.069226e-02	3.702428e-04	3.702428e-04
3.360000e+00	3.620000e+00	2.615427e-03	1.831166e-04	1.831166e-04
3.620000e+00	3.880000e+00	5.640885e-04	8.503955e-05	8.503955e-05
3.880000e+00	4.140000e+00	2.435886e-04	5.588308e-05	5.588308e-05
4.140000e+00	4.400000e+00	3.846238e-05	2.220628e-05	2.220628e-05
4.400000e+00	4.660000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.660000e+00	4.920000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.920000e+00	5.180000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.180000e+00	5.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.440000e+00	5.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e+00	5.960000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.960000e+00	6.220000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.220000e+00	6.480000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.480000e+00	6.740000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.740000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/z2_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/z2_dR
Scale=275.10278295
ScaledBy=7.48126343000406289e-04
Title=Zp015
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	7.600000e-01	8.457858e-02	1.041486e-03	1.041486e-03
7.600000e-01	1.020000e+00	1.673767e-01	1.464896e-03	1.464896e-03
1.020000e+00	1.280000e+00	2.718129e-01	1.866776e-03	1.866776e-03
1.280000e+00	1.540000e+00	2.941598e-01	1.942000e-03	1.942000e-03
1.540000e+00	1.800000e+00	2.853888e-01	1.912823e-03	1.912823e-03
1.800000e+00	2.060000e+00	2.429259e-01	1.764788e-03	1.764788e-03
2.060000e+00	2.320000e+00	2.048775e-01	1.620713e-03	1.620713e-03
2.320000e+00	2.580000e+00	1.647828e-01	1.453483e-03	1.453483e-03
