# BEGIN PLOT
LegendOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z2_deltaEta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/z2_deltaEta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/z2_deltaEta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/z2_deltaEta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/z2_deltaEta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/z2_deltaEta
DrawOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z2_deltaEta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/z2_deltaEta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/z2_deltaEta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/z2_deltaEta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/z2_deltaEta //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/z2_deltaEta
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z2_deltaEta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z2_deltaEta
Scale=1385.16766924
ScaledBy=3.34351358995145715e-04
Title=Zp005
# xlow	 xhigh	 val	 errminus	 errplus
-3.500000e+00	-3.325000e+00	1.390921e-03	1.627950e-04	1.627950e-04
-3.325000e+00	-3.150000e+00	1.866490e-03	1.885441e-04	1.885441e-04
-3.150000e+00	-2.975000e+00	3.123682e-03	2.439187e-04	2.439187e-04
-2.975000e+00	-2.800000e+00	5.771577e-03	3.315686e-04	3.315686e-04
-2.800000e+00	-2.625000e+00	1.182898e-02	4.746810e-04	4.746810e-04
-2.625000e+00	-2.450000e+00	1.859157e-02	5.951019e-04	5.951019e-04
-2.450000e+00	-2.275000e+00	2.436223e-02	6.812116e-04	6.812116e-04
-2.275000e+00	-2.100000e+00	3.192466e-02	7.798114e-04	7.798114e-04
-2.100000e+00	-1.925000e+00	3.676089e-02	8.367728e-04	8.367728e-04
-1.925000e+00	-1.750000e+00	4.624861e-02	9.385870e-04	9.385870e-04
-1.750000e+00	-1.575000e+00	5.321983e-02	1.006840e-03	1.006840e-03
-1.575000e+00	-1.400000e+00	5.977206e-02	1.067019e-03	1.067019e-03
-1.400000e+00	-1.225000e+00	6.613291e-02	1.122349e-03	1.122349e-03
-1.225000e+00	-1.050000e+00	7.485783e-02	1.194102e-03	1.194102e-03
-1.050000e+00	-8.750000e-01	8.200103e-02	1.249778e-03	1.249778e-03
-8.750000e-01	-7.000000e-01	8.731343e-02	1.289612e-03	1.289612e-03
-7.000000e-01	-5.250000e-01	9.196166e-02	1.323499e-03	1.323499e-03
-5.250000e-01	-3.500000e-01	9.874457e-02	1.371453e-03	1.371453e-03
-3.500000e-01	-1.750000e-01	1.030078e-01	1.400722e-03	1.400722e-03
-1.750000e-01	0.000000e+00	1.010862e-01	1.387610e-03	1.387610e-03
0.000000e+00	1.750000e-01	1.056374e-01	1.418495e-03	1.418495e-03
1.750000e-01	3.500000e-01	1.026831e-01	1.398507e-03	1.398507e-03
3.500000e-01	5.250000e-01	9.952566e-02	1.376867e-03	1.376867e-03
5.250000e-01	7.000000e-01	9.720154e-02	1.360694e-03	1.360694e-03
7.000000e-01	8.750000e-01	8.872371e-02	1.299990e-03	1.299990e-03
8.750000e-01	1.050000e+00	8.129594e-02	1.244391e-03	1.244391e-03
