# BEGIN PLOT
LegendOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/z2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/z2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/z2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/z2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/z2_phi
DrawOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/z2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/z2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/z2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/z2_phi //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/z2_phi
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z2_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z2_phi
Scale=1385.16766924
ScaledBy=3.34351358995145715e-04
Title=Zp005
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.570796e-01	5.536610e-02	1.083945e-03	1.083945e-03
1.570796e-01	3.141593e-01	5.540728e-02	1.084335e-03	1.084335e-03
3.141593e-01	4.712389e-01	5.392078e-02	1.069681e-03	1.069681e-03
4.712389e-01	6.283185e-01	5.447110e-02	1.075111e-03	1.075111e-03
6.283185e-01	7.853982e-01	5.837796e-02	1.113022e-03	1.113022e-03
7.853982e-01	9.424778e-01	5.920398e-02	1.120854e-03	1.120854e-03
9.424778e-01	1.099557e+00	5.627818e-02	1.092832e-03	1.092832e-03
1.099557e+00	1.256637e+00	5.417708e-02	1.072236e-03	1.072236e-03
1.256637e+00	1.413717e+00	5.761455e-02	1.105726e-03	1.105726e-03
1.413717e+00	1.570796e+00	5.691318e-02	1.098965e-03	1.098965e-03
1.570796e+00	1.727876e+00	5.640579e-02	1.094073e-03	1.094073e-03
1.727876e+00	1.884956e+00	5.451443e-02	1.075548e-03	1.075548e-03
1.884956e+00	2.042035e+00	5.600230e-02	1.090150e-03	1.090150e-03
2.042035e+00	2.199115e+00	5.576772e-02	1.087854e-03	1.087854e-03
2.199115e+00	2.356194e+00	5.604340e-02	1.090537e-03	1.090537e-03
2.356194e+00	2.513274e+00	5.606606e-02	1.090771e-03	1.090771e-03
2.513274e+00	2.670354e+00	5.606579e-02	1.090767e-03	1.090767e-03
2.670354e+00	2.827433e+00	5.570605e-02	1.087271e-03	1.087271e-03
2.827433e+00	2.984513e+00	5.701986e-02	1.100000e-03	1.100000e-03
2.984513e+00	3.141593e+00	5.485427e-02	1.078898e-03	1.078898e-03
3.141593e+00	3.298672e+00	5.466412e-02	1.077034e-03	1.077034e-03
3.298672e+00	3.455752e+00	5.581078e-02	1.088280e-03	1.088280e-03
3.455752e+00	3.612832e+00	5.761387e-02	1.105713e-03	1.105713e-03
3.612832e+00	3.769911e+00	5.710629e-02	1.100848e-03	1.100848e-03
3.769911e+00	3.926991e+00	5.651036e-02	1.095072e-03	1.095072e-03
3.926991e+00	4.084070e+00	5.852651e-02	1.114437e-03	1.114437e-03
