# BEGIN PLOT
LegendOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z2_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/z2_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/z2_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/z2_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/z2_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/z2_pt
DrawOnly=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z2_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/z2_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/z2_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp045/Zp045_out_.yoda.gz/Z4mu/z2_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp060/Zp060_out_.yoda.gz/Z4mu/z2_pt //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp075/Zp075_out_.yoda.gz/Z4mu/z2_pt
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z2_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp005/Zp005_out_.yoda.gz/Z4mu/z2_pt
Scale=1385.16766924
ScaledBy=3.34351358995145715e-04
Title=Zp005
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+00	7.375000e+00	8.224829e-04	3.397648e-05	3.397648e-05
7.375000e+00	9.750000e+00	1.213999e-03	4.127722e-05	4.127722e-05
9.750000e+00	1.212500e+01	5.842792e-03	9.055605e-05	9.055605e-05
1.212500e+01	1.450000e+01	1.597049e-02	1.497154e-04	1.497154e-04
1.450000e+01	1.687500e+01	1.999148e-02	1.675055e-04	1.675055e-04
1.687500e+01	1.925000e+01	1.919602e-02	1.641406e-04	1.641406e-04
1.925000e+01	2.162500e+01	1.788368e-02	1.584304e-04	1.584304e-04
2.162500e+01	2.400000e+01	1.576288e-02	1.487396e-04	1.487396e-04
2.400000e+01	2.637500e+01	1.282822e-02	1.341818e-04	1.341818e-04
2.637500e+01	2.875000e+01	9.936922e-03	1.180961e-04	1.180961e-04
2.875000e+01	3.112500e+01	7.567848e-03	1.030618e-04	1.030618e-04
3.112500e+01	3.350000e+01	5.382535e-03	8.691690e-05	8.691690e-05
3.350000e+01	3.587500e+01	3.778213e-03	7.281973e-05	7.281973e-05
3.587500e+01	3.825000e+01	2.526264e-03	5.954464e-05	5.954464e-05
3.825000e+01	4.062500e+01	1.789434e-03	5.011420e-05	5.011420e-05
4.062500e+01	4.300000e+01	1.371200e-03	4.386861e-05	4.386861e-05
4.300000e+01	4.537500e+01	9.725722e-04	3.694498e-05	3.694498e-05
4.537500e+01	4.775000e+01	7.606775e-04	3.267391e-05	3.267391e-05
4.775000e+01	5.012500e+01	6.217827e-04	2.954179e-05	2.954179e-05
5.012500e+01	5.250000e+01	5.150720e-04	2.688655e-05	2.688655e-05
5.250000e+01	5.487500e+01	4.042561e-04	2.382103e-05	2.382103e-05
5.487500e+01	5.725000e+01	3.382776e-04	2.179039e-05	2.179039e-05
5.725000e+01	5.962500e+01	2.932932e-04	2.028752e-05	2.028752e-05
5.962500e+01	6.200000e+01	2.694642e-04	1.944691e-05	1.944691e-05
6.200000e+01	6.437500e+01	2.413927e-04	1.840603e-05	1.840603e-05
6.437500e+01	6.675000e+01	1.585857e-04	1.491850e-05	1.491850e-05
6.675000e+01	6.912500e+01	1.824522e-04	1.600212e-05	1.600212e-05
6.912500e+01	7.150000e+01	1.627834e-04	1.511407e-05	1.511407e-05
7.150000e+01	7.387500e+01	1.249179e-04	1.324128e-05	1.324128e-05
7.387500e+01	7.625000e+01	1.066760e-04	1.223658e-05	1.223658e-05
7.625000e+01	7.862500e+01	9.825966e-05	1.174428e-05	1.174428e-05
7.862500e+01	8.100000e+01	7.860947e-05	1.050464e-05	1.050464e-05
8.100000e+01	8.337500e+01	8.982695e-05	1.122838e-05	1.122838e-05
8.337500e+01	8.575000e+01	7.439187e-05	1.021852e-05	1.021852e-05
8.575000e+01	8.812500e+01	6.737465e-05	9.724698e-06	9.724698e-06
8.812500e+01	9.050000e+01	5.052387e-05	8.420649e-06	8.420649e-06
9.050000e+01	9.287500e+01	4.770914e-05	8.182049e-06	8.182049e-06
9.287500e+01	9.525000e+01	4.771899e-05	8.183748e-06	8.183748e-06
9.525000e+01	9.762500e+01	5.894737e-05	9.095780e-06	9.095780e-06
9.762500e+01	1.000000e+02	3.787739e-05	7.289509e-06	7.289509e-06
# END HISTO1D


# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/z2_pt
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp015/Zp015_out_.yoda.gz/Z4mu/z2_pt
Scale=275.10278295
ScaledBy=7.48126343000406289e-04
Title=Zp015
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+00	7.375000e+00	1.274269e-02	1.337343e-04	1.337343e-04
7.375000e+00	9.750000e+00	1.711202e-02	1.549759e-04	1.549759e-04
9.750000e+00	1.212500e+01	2.015924e-02	1.682101e-04	1.682101e-04
1.212500e+01	1.450000e+01	2.312593e-02	1.801609e-04	1.801609e-04
1.450000e+01	1.687500e+01	2.378377e-02	1.827037e-04	1.827037e-04
1.687500e+01	1.925000e+01	2.291523e-02	1.793376e-04	1.793376e-04
1.925000e+01	2.162500e+01	2.064617e-02	1.702290e-04	1.702290e-04
2.162500e+01	2.400000e+01	1.871487e-02	1.620716e-04	1.620716e-04
2.400000e+01	2.637500e+01	1.566912e-02	1.482979e-04	1.482979e-04
2.637500e+01	2.875000e+01	1.225557e-02	1.311526e-04	1.311526e-04
2.875000e+01	3.112500e+01	9.082413e-03	1.129232e-04	1.129232e-04
3.112500e+01	3.350000e+01	6.506922e-03	9.556618e-05	9.556618e-05
3.350000e+01	3.587500e+01	4.410034e-03	7.867542e-05	7.867542e-05
3.587500e+01	3.825000e+01	3.216767e-03	6.719124e-05	6.719124e-05
3.825000e+01	4.062500e+01	2.305984e-03	5.689026e-05	5.689026e-05
4.062500e+01	4.300000e+01	1.841535e-03	5.084092e-05	5.084092e-05
4.300000e+01	4.537500e+01	1.316530e-03	4.298626e-05	4.298626e-05
4.537500e+01	4.775000e+01	1.073629e-03	3.886788e-05	3.886788e-05
4.775000e+01	5.012500e+01	8.968198e-04	3.547768e-05	3.547768e-05
5.012500e+01	5.250000e+01	7.256989e-04	3.191624e-05	3.191624e-05
5.250000e+01	5.487500e+01	6.105347e-04	2.927292e-05	2.927292e-05
5.487500e+01	5.725000e+01	5.473785e-04	2.771761e-05	2.771761e-05
5.725000e+01	5.962500e+01	4.673676e-04	2.561161e-05	2.561161e-05
5.962500e+01	6.200000e+01	4.014144e-04	2.373616e-05	2.373616e-05
6.200000e+01	6.437500e+01	3.326382e-04	2.160720e-05	2.160720e-05
6.437500e+01	6.675000e+01	2.737044e-04	1.960040e-05	1.960040e-05
6.675000e+01	6.912500e+01	2.975487e-04	2.043575e-05	2.043575e-05
6.912500e+01	7.150000e+01	2.652643e-04	1.929516e-05	1.929516e-05
7.150000e+01	7.387500e+01	1.880762e-04	1.624732e-05	1.624732e-05
7.387500e+01	7.625000e+01	2.245824e-04	1.775481e-05	1.775481e-05
7.625000e+01	7.862500e+01	1.922996e-04	1.642928e-05	1.642928e-05
7.862500e+01	8.100000e+01	1.782477e-04	1.581694e-05	1.581694e-05
8.100000e+01	8.337500e+01	1.572194e-04	1.485584e-05	1.485584e-05
8.337500e+01	8.575000e+01	1.291368e-04	1.346346e-05	1.346346e-05
8.575000e+01	8.812500e+01	1.501629e-04	1.451681e-05	1.451681e-05
8.812500e+01	9.050000e+01	1.305002e-04	1.353225e-05	1.353225e-05
9.050000e+01	9.287500e+01	1.094811e-04	1.239630e-05	1.239630e-05
9.287500e+01	9.525000e+01	9.404021e-05	1.148885e-05	1.148885e-05
9.525000e+01	9.762500e+01	8.702051e-05	1.105162e-05	1.105162e-05
9.762500e+01	1.000000e+02	7.156707e-05	1.002140e-05	1.002140e-05
# END HISTO1D


# BEGIN HISTO1D //net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/z2_pt
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//net/s3_data_home/yangz/analysis/zprime/rivet/run_2021_0308/Zp035/Zp035_out_.yoda.gz/Z4mu/z2_pt
Scale=31.6846662254
ScaledBy=7.79859990955757382e-04
